,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
77,Great Northern Fibers Inc,1.0,[52T81],2019.0,General C&D Debris,3376.44,3034.43,3281.2,3920.97,4019.67,3349.04,3828.39,3981.73,2716.84,3114.97,2845.72,2323.34,39792.74,95.0,Transfer Facility
78,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Concrete,135.0,120.0,180.0,200.0,150.0,175.0,125.0,225.0,320.0,375.0,425.0,450.0,2880.0,NR,Transfer Facility
79,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Masonry,125.0,75.0,375.0,380.0,270.0,125.0,85.0,175.0,95.0,0.0,0.0,90.0,1795.0,NR,Transfer Facility
80,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Asphalt and Road Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,325.0,175.0,200.0,275.0,1600.0,NR,Transfer Facility
81,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Wood,425.0,375.0,600.0,735.0,700.0,600.0,550.0,480.0,325.0,400.0,475.0,500.0,6165.0,NR,Transfer Facility
82,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Soil,85.0,100.0,325.0,625.0,375.0,250.0,250.0,200.0,300.0,200.0,300.0,0.0,3010.0,NR,Transfer Facility
83,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,Sand,200.0,0.0,175.0,485.0,295.0,200.0,175.0,200.0,325.0,285.0,200.0,275.0,2815.0,NR,Transfer Facility
84,Guillo Enterprises; Inc.,1.0,[52CP0239],2019.0,"Rock, Stone, and Gravel",125.0,55.0,100.0,125.0,75.0,100.0,125.0,125.0,85.0,100.0,0.0,225.0,1240.0,NR,Transfer Facility
85,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,Concrete,200.0,100.0,100.0,225.0,200.0,125.0,165.0,175.0,325.0,400.0,425.0,375.0,2815.0,NR,Transfer Facility
86,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,Masonry,180.0,180.0,85.0,100.0,290.0,90.0,290.0,100.0,200.0,100.0,80.0,0.0,1695.0,NR,Transfer Facility
87,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,Wood,325.0,300.0,450.0,575.0,675.0,500.0,475.0,480.0,700.0,600.0,275.0,175.0,5530.0,NR,Transfer Facility
88,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,Soil,75.0,120.0,375.0,485.0,300.0,125.0,275.0,150.0,325.0,200.0,100.0,0.0,2530.0,NR,Transfer Facility
89,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,Sand,300.0,0.0,100.0,75.0,275.0,100.0,0.0,100.0,175.0,100.0,75.0,0.0,1300.0,NR,Transfer Facility
90,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,"Rock, Stone, and Gravel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,75.0,0.0,0.0,165.0,NR,Transfer Facility
91,Guillo Enterprises; Inc.,1.0,[52CP0239],2020.0,"Rock, Stone, and Gravel",100.0,100.0,75.0,75.0,0.0,75.0,125.0,0.0,0.0,0.0,0.0,0.0,550.0,NR,Transfer Facility
92,Hampton Sand Mining Corp,1.0,[52W33R],2019.0,Asphalt and Road Material,1.0,6.0,24.0,55.0,34.0,12.0,39.0,39.0,60.0,81.0,185.0,60.0,596.0,30.0,Transfer Facility
93,Hampton Sand Mining Corp,1.0,[52W33R],2019.0,Concrete,239.0,475.0,221.0,393.0,616.0,311.0,309.0,481.0,3499.0,494.0,592.0,226.0,7856.0,20.0,Transfer Facility
94,Hampton Sand Mining Corp,1.0,[52W33R],2019.0,Soil,0.0,52.0,1648.0,1493.0,1083.0,16.0,1167.0,362.0,699.0,464.0,393.0,56.0,7433.0,20.0,Transfer Facility
95,Hololob Industries Inc.,1.0,[52M10302],2019.0,Soil,96.6,179.4,248.4,345.0,0.0,0.0,27.6,27.6,0.0,220.8,786.6,82.8,2014.8,NR,Transfer Facility
96,Horton Avenue Materials,1.0,[52W135R],2019.0,Yard Waste,8.85,3.45,15.03,22.14,42.51,28.72,24.8,46.0,66.63,37.2,56.3,21.36,373.0,NR,Transfer Facility
97,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2020.0,Concrete,3885.47,3357.24,2325.29,1281.69,3269.37,6326.64,15261.1,6323.61,5142.92,4135.95,3636.0,5765.08,60710.36,NR,Transfer Facility
